-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: WS10M
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 4.61 m/s, termasuk kategori angin sedang. Nilai tertinggi mencapai 5.22 m/s dan terendah 4.07 m/s, dengan standar deviasi 0.29 m/s. Nilai cenderung paling tinggi sekitar pukul 08:00 dan paling rendah sekitar pukul 23:00. Secara umum tren kecepatan angin menurun menuju akhir periode. 

Model terbaik adalah XGB dengan MAPE 3.75% dan RMSE 0.123. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;1,1;1,048;0,985;1,801;;
2013;1;2;8;1,81;1,345;1,574;2,13;;
2013;1;2;9;2,52;1,956;2,36;2,527;;
2013;1;2;10;3,12;2,662;3,046;3,307;;
2013;1;2;11;3,76;3,376;3,665;3,877;;
2013;1;2;12;4,43;3,967;4,249;4,316;;
2013;1;2;13;4,92;4,61;4,813;4,791;;
2013;1;2;14;5,17;5,024;5,166;4,999;;
2013;1;2;15;5,21;5,203;5,246;4,827;;
2013;1;2;16;5,13;5,179;5,067;4,717;;
2013;1;2;17;4,69;4,891;4,783;4,413;;
2013;1;2;18;4,15;4,45;4,224;4,173;;
2013;1;2;19;3,99;4,035;3,924;3,834;;
2013;1;2;20;3,85;3,827;3,806;3,62;;
2013;1;2;21;3,64;3,704;3,654;3,609;;
2013;1;2;22;3,37;3,54;3,46;3,317;;
2013;1;2;23;3,13;3,268;3,169;3,179;;
2013;1;3;0;3,03;3,114;2,986;3,023;;
2013;1;3;1;2,97;3,024;2,956;2,904;;
2013;1;3;2;2,87;2,947;2,9;2,751;;
2013;1;3;3;2,71;2,832;2,779;2,544;;
2013;1;3;4;2,68;2,727;2,654;2,656;;
2013;1;3;5;2,76;2,721;2,673;2,901;;
2013;1;3;6;2,97;2,884;2,876;3,121;;
2013;1;3;7;3,67;3,283;3,451;3,164;;
2013;1;3;8;4,19;3,803;4,076;4,11;;
2013;1;3;9;4,63;4,342;4,547;4,657;;
2013;1;3;10;4,8;4,683;4,807;4,907;;
2013;1;3;11;4,87;4,857;4,935;5,204;;
2013;1;3;12;4,96;4,913;4,954;5,293;;
2013;1;3;13;4,96;4,952;5,023;5,123;;
2013;1;3;14;4,79;4,914;4,912;4,857;;
2013;1;3;15;4,49;4,677;4,604;4,646;;
2013;1;3;16;4,18;4,355;4,202;4,386;;
2013;1;3;17;3,68;3,901;3,731;3,866;;
2013;1;3;18;3,16;3,43;3,22;3,244;;
2013;1;3;19;3,03;3,069;2,994;3,101;;
2013;1;3;20;2,94;2,938;2,882;3,113;;
2013;1;3;21;2,99;2,949;2,918;3,054;;
2013;1;3;22;2,87;2,915;2,919;3,086;;
2013;1;3;23;2,8;2,892;2,881;3,171;;
2013;1;4;0;2,81;2,836;2,792;2,634;;
2013;1;4;1;2,19;2,576;2,536;2,411;;
2013;1;4;2;1,63;2,184;1,883;2,274;;
2013;1;4;3;1,7;1,765;1,581;2,001;;
2013;1;4;4;2,01;1,768;1,778;1,89;;
2013;1;4;5;2,34;2,102;2,232;1,896;;
2013;1;4;6;2,62;2,455;2,602;2,356;;
2013;1;4;7;3,5;2,949;3,201;2,891;3,033;3,061
2013;1;4;8;4,43;3,714;4,116;3,857;4,109;4,184
2013;1;4;9;5,32;4,692;5,042;4,786;5,198;5,086
2013;1;4;10;6,11;5,551;5,86;5,491;5,773;5,865
2013;1;4;11;6,8;6,26;6,526;5,92;6,549;6,459
2013;1;4;12;7,25;6,689;7,101;6,803;7,129;7,166
2013;1;4;13;7,51;7,038;7,427;6,894;7,373;7,374
2013;1;4;14;7,36;7,249;7,333;6,813;7,457;7,447
2013;1;4;15;6,84;7,15;6,991;6,656;6,955;6,889
2013;1;4;16;6,23;6,706;6,426;6,444;6,241;6,212
2013;1;4;17;5,86;6,138;5,767;6,353;5,556;5,526
2013;1;4;18;6,17;5,943;5,606;6,02;5,385;5,348
2013;1;4;19;6,87;6,164;6,32;6,306;6,136;6,184
2013;1;4;20;7,39;6,712;7,114;6,726;6,977;6,986
2013;1;4;21;7,61;7,206;7,318;6,726;7,219;7,281
2013;1;4;22;7,19;7,294;7,318;7,001;7,349;7,421
2013;1;4;23;6,62;6,903;7,024;7,001;6,556;6,584
2013;1;5;0;6,42;6,633;6,362;6,287;6,047;6,091
2013;1;5;1;6,47;6,426;6,209;6,057;6,269;6,155
2013;1;5;2;6,36;6,321;6,276;6,057;6,268;6,293
2013;1;5;3;5,92;6,15;6,16;5,769;6,239;6,013
2013;1;5;4;5,46;5,785;5,617;5,769;5,596;5,308
2013;1;5;5;5,0;5,324;5,15;5,576;5,206;5,078
2013;1;5;6;4,75;4,992;4,888;5,093;4,853;4,851
2013;1;5;7;5,07;4,894;4,955;4,686;4,72;4,915
2013;1;5;8;5,22;5,041;5,251;5,204;5,477;5,366
2013;1;5;9;5,08;5,171;5,253;5,413;5,277;5,344
2013;1;5;10;4,85;5,037;5,047;4,893;5,014;4,967
2013;1;5;11;4,53;4,722;4,672;4,464;4,681;4,671
2013;1;5;12;4,26;4,422;4,351;4,464;4,307;4,317
2013;1;5;13;4,18;4,226;4,191;4,303;4,07;4,064
2013;1;5;14;4,23;4,184;4,202;4,119;4,119;4,104
2013;1;5;15;4,12;4,139;4,264;4,207;4,22;4,205
2013;1;5;16;3,95;4,071;4,043;4,099;4,012;3,909
2013;1;5;17;3,56;3,771;3,692;3,876;3,833;3,777
2013;1;5;18;3,5;3,525;3,358;3,816;3,467;3,308
2013;1;5;19;3,79;3,571;3,602;3,777;3,581;3,555
2013;1;5;20;3,98;3,786;3,902;3,777;4,059;3,915
2013;1;5;21;4,04;3,988;4,098;3,777;4,005;4,0
2013;1;5;22;3,89;3,986;4,055;3,777;4,026;3,93
2013;1;5;23;3,68;3,833;3,841;3,783;3,694;3,689
2013;1;6;0;3,22;3,504;3,443;3,189;3,544;3,482
2013;1;6;1;2,73;3,065;2,963;2,827;2,967;2,825
2013;1;6;2;2,39;2,664;2,523;2,543;2,426;2,364
2013;1;6;3;1,95;2,262;2,158;2,213;2,289;2,105
2013;1;6;4;1,4;1,864;1,703;1,897;1,775;1,562
2013;1;6;5;0,91;1,395;1,169;1,48;1,28;1,034
2013;1;6;6;1,06;1,164;0,969;1,983;0,885;0,796
2013;1;6;7;2,05;1,442;1,582;2,159;1,537;1,621
2013;1;6;8;3,5;2,374;2,805;2,764;2,807;2,819
2013;1;6;9;4,72;3,667;4,299;3,833;4,651;4,659
2013;1;6;10;5,07;4,706;5,087;4,421;5,608;5,433
2013;1;6;11;5,18;5,168;5,286;5,306;5,128;5,062
2013;1;6;12;5,55;5,334;5,374;5,301;5,146;5,18
2013;1;6;13;5,81;5,531;5,667;5,426;5,728;5,72
2013;1;6;14;5,78;5,756;5,784;5,606;5,891;5,756
2013;1;6;15;5,61;5,701;5,681;5,279;5,603;5,521
2013;1;6;16;5,31;5,449;5,295;5,279;5,268;5,277
2013;1;6;17;4,54;4,971;4,742;4,519;4,973;4,924
2013;1;6;18;3,97;4,334;4,038;3,789;3,921;3,895
2013;1;6;19;3,66;3,736;3,67;3,493;3,625;3,66
2013;1;6;20;3,4;3,477;3,41;3,53;3,423;3,403
2013;1;6;21;3,56;3,463;3,362;3,807;3,127;3,184
2013;1;6;22;4,16;3,691;3,785;3,829;3,666;3,66
2013;1;6;23;4,94;4,316;4,579;3,846;4,444;4,494
2013;1;7;0;5,25;4,996;5,248;4,421;5,353;5,286
2013;1;7;1;4,87;5,119;5,181;4,343;5,301;5,142
2013;1;7;2;4,14;4,65;4,51;4,329;4,428;4,38
2013;1;7;3;3,46;3,858;3,681;3,907;3,614;3,45
2013;1;7;4;2,95;3,23;3,083;3,593;3,007;2,829
2013;1;7;5;2,47;2,724;2,605;3,097;2,778;2,515
2013;1;7;6;2,08;2,387;2,28;2,549;2,387;2,268
2013;1;7;7;2,24;2,234;2,159;2,459;2,232;2,225
2013;1;7;8;2,8;2,403;2,494;2,866;2,409;2,38
2013;1;7;9;3,01;2,807;3,09;3,241;3,378;3,332
2013;1;7;10;3,36;3,2;3,392;3,53;3,239;3,232
2013;1;7;11;3,79;3,545;3,716;3,653;3,566;3,637
2013;1;7;12;4,07;3,909;4,071;3,97;4,21;4,164
2013;1;7;13;4,27;4,163;4,293;4,037;4,199;4,294
2013;1;7;14;4,3;4,305;4,395;4,241;4,34;4,271
2013;1;7;15;4,1;4,246;4,291;4,339;4,194;4,17
2013;1;7;16;3,83;4,03;3,945;4,111;3,838;3,768
2013;1;7;17;3,41;3,59;3,417;3,387;3,572;3,551
2013;1;7;18;3,12;3,257;3,081;3,276;3,224;3,178
2013;1;7;19;3,33;3,148;3,112;3,283;3,087;3,056
2013;1;7;20;3,48;3,303;3,37;3,361;3,534;3,533
2013;1;7;21;3,6;3,505;3,584;3,49;3,609;3,557
2013;1;7;22;3,66;3,602;3,64;3,583;3,671;3,638
2013;1;7;23;3,6;3,646;3,676;3,756;3,641;3,631
2013;1;8;0;3,73;3,689;3,66;3,614;3,484;3,483
2013;1;8;1;3,88;3,814;3,809;3,88;3,71;3,707
2013;1;8;2;3,9;3,889;3,962;3,897;3,89;3,874
2013;1;8;3;4,01;3,964;3,975;3,797;3,815;3,767
2013;1;8;4;4,06;4,039;4,078;3,833;4,062;3,955
2013;1;8;5;3,94;4,048;4,031;3,911;4,142;3,967
