-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Variabel: WS10M
Forecast Summary:
Ringkasan prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 3.46 m/s (angin sedang), tertinggi 3.62 m/s, terendah 3.29 m/s, standar deviasi 0.10 m/s. Rentang nilai harian mencapai 0.33 m/s.

▸ Pola harian: puncak sekitar pukul 15:00, lembah sekitar pukul 23:00. Tren relatif stabil sepanjang periode.

▸ Analisis: Kecepatan angin sedang, cukup untuk turbin skala menengah dengan efisiensi memadai. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — MAE **0.087** m/s, RMSE **0.119** m/s, sMAPE **3.38%**, R² **0.992** (sangat baik). Model mampu menjelaskan variasi data dengan kemampuan sangat baik. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;1,14;1,183;1,067;1,776;;
2013;1;2;8;1,24;1,226;1,266;1,829;;
2013;1;2;9;1,24;1,296;1,344;1,876;;
2013;1;2;10;1,24;1,344;1,355;1,964;;
2013;1;2;11;1,33;1,338;1,342;1,943;;
2013;1;2;12;1,39;1,408;1,428;1,867;;
2013;1;2;13;1,55;1,507;1,611;1,902;;
2013;1;2;14;1,97;1,744;1,835;1,94;;
2013;1;2;15;2,37;2,056;2,235;2,178;;
2013;1;2;16;2,59;2,374;2,55;2,309;;
2013;1;2;17;2,71;2,596;2,651;2,373;;
2013;1;2;18;2,64;2,647;2,671;2,294;;
2013;1;2;19;2,78;2,695;2,701;2,23;;
2013;1;2;20;2,91;2,757;2,785;2,273;;
2013;1;2;21;3,08;2,928;2,974;2,367;;
2013;1;2;22;3,29;3,103;3,153;2,545;;
2013;1;2;23;3,36;3,252;3,309;2,664;;
2013;1;3;0;3,34;3,352;3,399;2,892;;
2013;1;3;1;3,15;3,254;3,269;3,074;;
