YEAR,MO,DY,HR,WS10M,WD10M,RH2M,T2M
2023,1,1,0,4.08,277.9,97.15,22.47
2023,1,1,1,4.09,279.9,97.14,22.36
2023,1,1,2,3.88,282.4,97.25,22.27
2023,1,1,3,3.65,283.5,97.39,22.17
2023,1,1,4,3.4,285.2,97.65,22.11
2023,1,1,5,3.15,287.7,97.98,22.1
2023,1,1,6,3.37,290.2,96.82,22.69
2023,1,1,7,4.05,290.4,95.39,23.38
2023,1,1,8,4.72,290.5,93.31,23.87
2023,1,1,9,5.43,292.5,90.14,24.33
2023,1,1,10,5.97,295.4,86.24,24.89
2023,1,1,11,6.13,296.4,83.03,25.31
2023,1,1,12,6.1,297.5,81.3,25.51
2023,1,1,13,5.82,299.3,81.36,25.36
2023,1,1,14,5.35,300.8,82.3,25.06
2023,1,1,15,4.71,300.9,83.97,24.72
2023,1,1,16,3.85,298.7,87.31,24.24
2023,1,1,17,2.62,294.8,92.32,23.51
2023,1,1,18,2.08,292.9,95.64,22.42
2023,1,1,19,2.21,287.9,96.46,22.08
2023,1,1,20,2.34,281.6,97.17,21.88
2023,1,1,21,2.43,278,97.41,21.88
2023,1,1,22,2.54,276.1,97.63,21.89
2023,1,1,23,2.92,274.5,97.42,21.91
2023,1,2,0,3.34,274.3,97.03,21.89
2023,1,2,1,3.52,275.4,97.12,21.79
2023,1,2,2,3.52,276,97.4,21.7
2023,1,2,3,3.65,275.7,97.17,21.68
2023,1,2,4,3.67,276.9,96.85,21.65
2023,1,2,5,3.37,278.5,97.14,21.63
2023,1,2,6,3.61,278.1,95.79,22.42
2023,1,2,7,4.48,277.7,92.9,23.32
2023,1,2,8,5.44,277.8,89.22,24.23
2023,1,2,9,6.24,278.7,85.45,25.09
2023,1,2,10,6.69,279.5,82.82,25.7
2023,1,2,11,6.96,278.8,80.98,26.06
2023,1,2,12,7.03,277.9,80.17,26.17
2023,1,2,13,6.89,276.4,80.17,26.08
2023,1,2,14,6.76,274.1,80.6,25.84
2023,1,2,15,6.45,271.6,82.18,25.31
2023,1,2,16,5.75,269.9,86.04,24.45
2023,1,2,17,4.37,270.3,91.81,23.38
2023,1,2,18,3.41,271.8,95.11,22.45
2023,1,2,19,3.29,271.9,95.29,22.19
2023,1,2,20,3.15,270.9,96.11,22.02
2023,1,2,21,3.25,270.4,96.55,21.92
2023,1,2,22,3.2,270,96.83,21.89
2023,1,2,23,3.2,267.1,97.09,21.86
2023,1,3,0,3.23,264.7,97.26,21.84
2023,1,3,1,3.06,263.4,97.62,21.76
2023,1,3,2,3.01,262.8,97.58,21.73
2023,1,3,3,2.81,261.6,97.64,21.62
2023,1,3,4,2.78,263.2,97.63,21.56
2023,1,3,5,3.06,266.1,97.26,21.57
2023,1,3,6,3.75,266.8,95.88,22.04
2023,1,3,7,4.38,268.7,94.32,22.63
2023,1,3,8,4.9,270.7,91.66,23.23
2023,1,3,9,5.34,272.5,88.69,23.87
2023,1,3,10,5.67,273.9,86.04,24.46
2023,1,3,11,6.02,275,83.56,25.03
2023,1,3,12,6.32,276.5,82,25.42
2023,1,3,13,6.55,276.5,81.61,25.45
2023,1,3,14,6.62,275.8,82.12,25.21
2023,1,3,15,6.42,276.4,83.57,24.74
2023,1,3,16,5.81,279,86.54,24.18
2023,1,3,17,4.42,282.4,92.35,23.31
